url,address,facade,direction,age,area,bedroom,bathroom,floors,house_type,price,street_size
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/em-co-quy-2pn-3pn-tang-dep-va-gia-tot-tro-0-trong-30-thang-tro-24-24-xem-thuc-te-pr31277660,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",,,,88 m²,2 PN,2 phòng,,Bán căn hộ chung cư,Thỏa thuận,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-duong-noi-prj-an-vuong-villa/b-s-vuon-400m2-d01-20-villas-c-goc-view-ho-dep-nhat-du-0985242709-pr28048680,"Dự án An Vượng Villa, Phường Dương Nội, Hà Đông, Hà Nội",,,,225 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",80 triệu/m²,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/ban-song-lap-kinh-doanh-dinh-cao-dien-tich-150-5-m2-chi-27-9-ty-pr31300426,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,Tây-Bắc,,150.5 m²,,,3 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",27.9 tỷ,
https://batdongsan.com.vn/ban-nha-rieng-pho-yen-lac-4/toi-la-chinh-chu-ko-phai-moi-gioi-can-ban-ngo-66-45m2-gia-5ti5-lh-098-248-2417-pr31300814,"Ngõ 66, Phố Yên Lạc, Hai Bà Trưng, Hà Nội",,,,45 m²,6 PN,4 phòng,5 tầng,Bán nhà riêng,5.5 tỷ,
https://batdongsan.com.vn/ban-dat-xa-phuc-hoa-1/chinh-chu-can-ban-manh-phan-lo-gian-dan-tai-thon-tho-ha-noi-lhcc-0989836111-pr31302533,"Xã Phúc Hòa, Phúc Thọ, Hà Nội",,,,144 m²,,,,Bán đất,10.5 triệu/m²,
https://batdongsan.com.vn/ban-nha-mat-pho-pho-lieu-giai-phuong-lieu-giai/can-ban-nhanh-khach-san-7-tang-36-2-ty-pr31303823,"Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội",6 m,,,60 m²,12 PN,,7 tầng,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),36.2 tỷ,40 m
https://batdongsan.com.vn/ban-nha-rieng-phuong-hang-bot-1/toi-chinh-chu-can-ban-can-ho-dich-vu-ngach-100-sn-7-van-huong-65m2-x-7-tang-thang-may-pr31317332,"Phường Hàng Bột, Đống Đa, Hà Nội",,,,65 m²,12 PN,12 phòng,7 tầng,Bán nhà riêng,7.9 tỷ,
https://batdongsan.com.vn/ban-nha-rieng-phuong-bo-de/ban-long-bien-53m2-xay-kien-co-5-tang-mat-tien-4m-chi-nhinh-6-ty-pr31317751,"Phường Bồ Đề, Long Biên, Hà Nội",4 m,,,53 m²,,,,Bán nhà riêng,6 tỷ,
https://batdongsan.com.vn/ban-nha-rieng-duong-an-duong-6/b-ngo-o-to-06-c-ngo-173-7-19-vuong-qu-tay-ho-ha-noi-lh-ngay-0948689689-pr31311802,"Đường An Dương, Tây Hồ, Hà Nội",,,,40 m²,,,,Bán nhà riêng,3.15 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/-shophouse-ck-lon-htls-gia-chi-tu-1x-pr31318220,"Dự án Louis City Hoàng Mai, Hoàng Mai, Hà Nội",6 m,,,107 m²,4 PN,4 phòng,5 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,40 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-thinh-liet-prj-louis-city-hoang-mai/ban-16-suat-ngoai-giao-cuoi-cung-day-l1-l5-l6-l7-l11-l12-dep-nhat-da-gia-tu-92tr-m2-pr28948157,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",,,,93 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,
https://batdongsan.com.vn/ban-dat-duong-420-xa-binh-yen-1/sieu-pham-tu-2-tinh-lo-420-gia-1-ty-mat-tien-6m-view-ho-thach-that-ha-noi-pr30961685,"Đường 420, Thôn Phúc Tiến, Xã Bình Yên, Thạch Thất, Hà Nội",,,,93 m²,,,,Bán đất,980 triệu,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-ban-don-lap-ngoc-trai-dao-lon-lam-pr31331378,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",,,,288 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",48 tỷ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-duy-hung-phuong-trung-hoa-4-prj-vinhomes-d-capitale/chinh-chu-ban-45m2-hang-hiem-tai-dcapitale-pr31330342,"Dự án Vinhomes D'Capitale, Quận Cầu Giấy, Hà Nội",,Đông-Nam,,52 m²,2 PN,1 phòng,,Bán căn hộ chung cư,2.05 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-thanh-xuan-nam/chinh-chu-ban-vi-tri-cuc-dep-lh-0978700881-pr31332369,"Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",,,,268 m²,5 PN,4 phòng,4 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",47 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/chinh-chu-ban-va-cienco5-gia-dau-tu-pr31333042,"Dự án Khu đô thị Cienco 5 Mê Linh, Huyện Mê Linh, Hà Nội",,,,100 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",25 triệu,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tran-thu-do-phuong-hoang-liet/ban-3-1-kdt-phap-van-can-goc-tel-078979883-phu-pr31331753,"Đường Trần Thủ Độ, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",35 m,Đông,,318 m²,5 PN,4 phòng,4 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",40 tỷ,13 m
https://batdongsan.com.vn/ban-loai-bat-dong-san-khac-phuong-dai-mo-prj-vinhomes-smart-city/chinh-chu-ket-tien-can-ban-cac-can-shophouse-vi-tri-trung-tam-dep-nhat-du-an-vinhome-city-pr30333655,"Dự án Vinhomes Smart City Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội",,,,,,,,Bán loại bất động sản khác,9.5 tỷ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-ho-tung-mau-phuong-phu-dien-prj-goldmark-city/quy-300-2pn-3pn-4pn-chuyen-nhuong-gia-re-cat-lo-450-trieu-tai-lh-0877839547-pr31159842,"Dự án Goldmark City, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",,,,104 m²,3 PN,2 phòng,,Bán căn hộ chung cư,3.7 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/ban-gap-dien-tich-hon-300m-da-hoan-thien-day-du-noi-that-cuc-sang-pr31186929,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",100 m,,,300 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,50 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/tong-hop-quy-sh-re-nhat-da-day-l1-l2-l3-l5-l6-l12-l16-l17-dt-93-95-112m2-mai-pr31207081,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",6 m,Nam,,210.7 m²,8 PN,8 phòng,5 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,13.5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/cac-suat-2pn-3pn-tang-trung-ngoai-giao-gia-tot-nhat-thi-truong-tro-xem-thuc-te-cac-pr30829941,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",,Tây-Nam,,88 m²,2 PN,2 phòng,,Bán căn hộ chung cư,Thỏa thuận,
https://batdongsan.com.vn/ban-nha-rieng-xa-tien-phong-8-prj-khu-do-thi-cienco-5-me-linh/chinh-chu-ban-tru-so-van-o-va-kinh-doanh-100m2-5-tang-mt-5m-gia-7-8-ty-lh-0916021955-pr30779970,"Dự án Cienco 5 Mê Linh, Xã Tiền Phong, Mê Linh, Hà Nội",5 m,,,100 m²,,,5 tầng,Bán nhà riêng,8 tỷ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/truc-tiep-cdt-2pn-my-dinh-ck-500tr-50-trieu-ls-0-trong-30th-0915222366-pr30991134,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",,,,88 m²,2 PN,2 phòng,,Bán căn hộ chung cư,49 triệu/m²,
https://batdongsan.com.vn/ban-nha-rieng-duong-trieu-khuc-phuong-thanh-xuan-nam/ban-cho-sinh-vien-thue-xay-6-tang-1-tum-o-xom-le-khuc-pr31224927,"Đường Triều Khúc, Phường Thanh Xuân Nam, Thanh Xuân, Hà Nội",,,,45.2 m²,,,6 tầng,Bán nhà riêng,5.2 tỷ,2 m
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-khuong-trung/chinh-chu-ban-5-tang-ngo-73-o-to-7-cho-vao-khong-tiep-moi-gioi-lh-097549388-pr31215089,"Ngõ 73, Đường Nguyễn Trãi, Phường Khương Trung, Thanh Xuân, Hà Nội",4.25 m,Đông-Bắc,,46 m²,4 PN,4 phòng,5 tầng,Bán nhà riêng,9.35 tỷ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-minh-khai-phuong-vinh-tuy-prj-imperia-sky-garden/ban-3pn-dt-106m2-cam-ket-re-nhat-thi-truong-lh-0974640266-pr31050901,"Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,Tây-Bắc,,75 m²,2 PN,2 phòng,,Bán căn hộ chung cư,2.9 tỷ,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/-ck-soc-tu-11-5-1-4-ty-nhan-nha-truc-tiep-cdthtls-0-30-thang-lh-0914223938-pr31227603,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",,Tây-Nam,,87 m²,2 PN,2 phòng,,Bán căn hộ chung cư,Thỏa thuận,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/ban-mat-pho-93m2-gia-dat-chi-8-ty-dong-lh-0976491188-pr31227926,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",,Đông,,93.8 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",130 triệu/m²,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-thinh-liet-prj-louis-city-hoang-mai/ban-shophouse-cac-suat-ngoai-giao-truc-tiep-cdt-gia-tu-75-trieu-m2-pr26434859,"Louis City Hoàng Mai, 54, Đường Tân Mai, Phường Thịnh Liệt, Hoàng Mai, Hà Nội",,,,100 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,
https://batdongsan.com.vn/ban-nha-rieng-duong-tran-phu-phuong-van-quan/ban-can-phan-lo-o-to-do-cua-ha-dong-45m2-4t-gia-5-5-ty-thuong-luong-sau-0982755203-pr31240547,"Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội",3.6 m,,,45 m²,6 PN,5 phòng,4 tầng,Bán nhà riêng,5.5 tỷ,5 m
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nghiem-xuan-yem-phuong-dai-kim-prj-the-manor-central-park/bang-hang-10-can-shophouse-lien-ke-du-an-tot-nhat-thi-truong-pr25607095,"Dự án The Manor Central Park, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Hoàng Mai, Hà Nội",,Đông-Nam,,,4 PN,6 phòng,5 tầng,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),21 tỷ,
https://batdongsan.com.vn/ban-dat-xa-minh-tri/ban-tho-cu-khu-du-lich-ho-dong-do-soc-son-hn-pr30856698,"Xã Minh Trí, Sóc Sơn, Hà Nội",10 m,,,350 m²,,,,Bán đất,1.2 tỷ,9 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-quang-dao-phuong-me-tri-prj-the-matrix-one/truc-tiep-cdt-ch-my-dinh-ck-11-5-50-trieu-ls-0-trong-30th-nhan-nha-quy-i-2022-pr31243447,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",,,,88 m²,2 PN,2 phòng,,Bán căn hộ chung cư,Thỏa thuận,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phuc-dong/ban-phan-lo-kdt-long-bien-via-he-rong-dai-gara-oto-7-5-ty-pr31261359,"Phường Phúc Đồng, Long Biên, Hà Nội",4.5 m,,,70 m²,4 PN,6 phòng,4 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",7.5 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ngoc-trai-3-xa-duong-xa-prj-vinhomes-ocean-park-gia-lam/chinh-chu-ban-song-lap-3-view-vuon-hoa-lon-be-boi-3x-ty-lh-0931234999-pr31262499,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Ngọc Trai 3, Xã Dương Xá, Gia Lâm, Hà Nội",9.3 m,Tây-Bắc,,167.5 m²,,,3 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,13 m
https://batdongsan.com.vn/ban-dat-xa-minh-tri/thong-bao-ban-4-lo-dep-nhat-huyen-soc-pr31262724,"Xã Minh Trí, Sóc Sơn, Hà Nội",,,,400 m²,,,,Bán đất,7 triệu/m²,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/quy-can-dep-nhat-du-an-cho-khach-hang-dau-tu-thang-102021-pr30946193,"Dự án Louis City Hoàng Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",11.6 m,Nam,,266 m²,5 PN,,5 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,13.5 m
https://batdongsan.com.vn/ban-nha-mat-pho-duong-quan-hoa-phuong-quan-hoa/chinh-chu-can-ban-6-tang-hoa-pr31262538,"Đường Quan Hoa, Phường Quan Hoa, Cầu Giấy, Hà Nội",5 m,Tây-Nam,,45.5 m²,7 PN,5 phòng,6 tầng,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),10.5 tỷ,3 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-xien-phuong-dai-kim-prj-the-manor-central-park/ban-can-goc-shophouse-doc-quyen-3-mat-tien-pho-di-bo-canh-cong-vien-trung-tam-gia-uu-tu-cdt-pr31265853,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội",,,,75 m²,5 PN,6 phòng,5 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",19 tỷ,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/ban-shophouse-40m2-truc-chinh-du-an-lh-096-9927-380-pr31266816,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",,,,162 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",43.912 tỷ,
https://batdongsan.com.vn/ban-dat-duong-dai-lo-thang-long-xa-dong-truc/ban-gap-cac-gia-tu-1-2-ty-tu-80m2-180m2-tai-vi-tri-trung-tam-khu-vuc-cnc-hoa-lac-pr31278435,"Đường Đại lộ Thăng Long, Xã Đồng Trúc, Thạch Thất, Hà Nội",5 m,Đông-Nam,,80 m²,,,,Bán đất,18 triệu/m²,7 m
https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-xien-phuong-dai-kim-prj-the-manor-central-park/phong-kinh-doanh-cdt-cap-nhat-bang-hang-shophouse-chiet-khau-13-vay-lai-0-pr27356761,"Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội",,,,,4 PN,6 phòng,5 tầng,Bán nhà mặt phố (nhà mặt tiền trên các tuyến phố),18 tỷ,
https://batdongsan.com.vn/ban-dat-xa-tan-minh-4/sieu-pham-kinh-doanh-doi-dien-cong-truong-dai-hoc-dien-luc-khu-sinh-thai-nui-doi-soc-son-ha-noi-pr31281854,"Xã Tân Minh, Sóc Sơn, Hà Nội",5.1 m,Đông-Nam,,85.15 m²,,,,Bán đất,1.6 tỷ,8 m
https://batdongsan.com.vn/ban-dat-duong-an-duong-vuong-phuong-phu-thuong-1/c-b-gap-mh-30-5m-ngo-63-tay-ho-2-35-ty-pr30500579,"Ngõ 63, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",3.65 m,Đông-Bắc,,30.2 m²,,,,Bán đất,2.35 tỷ,2.5 m
https://batdongsan.com.vn/ban-nha-rieng-duong-le-trong-tan-phuong-duong-noi/chu-dau-tu-mo-ban-quan-the-26-can-o-to-do-cua-xay-3-tang-gan-aeon-mall-ha-dong-pr30449470,"Đường Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội",4 m,Đông-Nam,,32 m²,3 PN,2 phòng,3 tầng,Bán nhà riêng,1.4 tỷ,3 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/ban-20-suat-doi-ngoai-day-l2-l5-l6-l11-l17-dt-93-112m-108tr-m-lh-de-so-sanh-gia-pr30422649,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",,Đông,,95 m²,,,,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",115 triệu/m²,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tan-mai-phuong-hoang-van-thu-4-prj-louis-city-hoang-mai/quy-can-shophouse-dep-nhat-du-cho-khach-hang-dau-tu-thang-11-2021-pr31289269,"Dự án Louis City Hoàng Mai, Đường Tân Mai, Phường Hoàng Văn Thụ, Hoàng Mai, Hà Nội",6 m,,,114 m²,5 PN,5 phòng,5 tầng,"Bán nhà biệt thự, liền kề (nhà trong dự án quy hoạch)",Thỏa thuận,40 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-vo-chi-cong-phuong-phu-thuong-1-prj-udic-westlake/-ciputra-tay-31-5tr-m2-3pn-168m2-5-2-ty-mien-phi-2-nam-dv-ck-4-pr31290847,"Dự án Udic Westlake, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội",,Đông-Bắc,,168 m²,3 PN,2 phòng,,Bán căn hộ chung cư,5.2 tỷ,
